ASSAY_DB_STAGING_ID,EXPORT_REQEUST_KEY,SEQUENCE_NO,STATUS,MANUFACTURER,CONTROL_LOT,CONTROL_LEVEL,CONTROL_EXPIRY_DATE,ASSAY_NAME,PRODUCT_TYPE,ASSAY_NUMBER,REAGENT_LOT_NO,BODY_FLUID,REAGENT_LOT_EXPIRY_DATE,MEAN,SD,LOW_SPEC,HIGH_SPEC,CONVENTIONAL_UNIT,REVISION_NO,REVISION_DATE,SENT_ON,SENT_BY,ERROR,IMPORTED_ON,EXPORTED ON
1429,2,6,1,Thermo Fisher,OIM19123,3,20211231,TT4,MW,59,2280,Serum,20201218,227,12.7,189,265,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1430,2,7,1,Thermo Fisher,OIM19121,1,20211231,TT4,MW,59,2290,Serum,20210304,35.9,2.87,27.3,44.5,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1431,2,8,1,Thermo Fisher,OIM19122,2,20211231,TT4,MW,59,2290,Serum,20210304,104,6.03,85.9,122,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1432,2,9,1,Thermo Fisher,OIM19123,3,20211231,TT4,MW,59,2290,Serum,20210304,227,12.7,189,265,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1433,2,10,1,Thermo Fisher,OIM19121,1,20211231,TT4,MW,59,2295,Serum,20210304,35.9,2.87,27.3,44.5,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1434,2,11,1,Thermo Fisher,OIM19122,2,20211231,TT4,MW,59,2295,Serum,20210304,104,6.03,85.9,122,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1435,2,12,1,Thermo Fisher,OIM19123,3,20211231,TT4,MW,59,2295,Serum,20210304,227,12.7,189,265,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1436,2,13,1,Thermo Fisher,OIM19121,1,20211231,TT4,MW,59,2300,Serum,20210428,35.9,2.87,27.3,44.5,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1437,2,14,1,Thermo Fisher,OIM19122,2,20211231,TT4,MW,59,2300,Serum,20210428,104,6.03,85.9,122,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1438,2,15,1,Thermo Fisher,OIM19123,3,20211231,TT4,MW,59,2300,Serum,20210428,227,12.7,189,265,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1439,2,16,1,Thermo Fisher,OIM19121,1,20211231,TT4,MW,59,8889,Serum,20210926,35.9,2.87,27.3,44.5,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1440,2,17,1,Thermo Fisher,OIM19122,2,20211231,TT4,MW,59,8889,Serum,20210926,104,6.03,85.9,122,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1441,2,18,1,Thermo Fisher,OIM19123,3,20211231,TT4,MW,59,8889,Serum,20210926,227,12.7,189,265,nmol/L,1,20201018 18:10:51,18-Oct-20,NRUSSELL,,,
1442,3,1,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2031,Serum,20201110,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1443,3,2,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2031,Serum,20201110,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1444,3,3,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2031,Serum,20201110,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1445,3,4,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2120,Serum,20201208,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1446,3,5,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2120,Serum,20201208,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1447,3,6,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2120,Serum,20201208,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1448,3,7,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2130,Serum,20210120,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1449,3,8,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2130,Serum,20210120,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1450,3,9,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2130,Serum,20210120,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1451,3,10,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2140,Serum,20210307,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1452,3,11,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2140,Serum,20210307,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1453,3,12,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2140,Serum,20210307,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1454,3,13,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2141,Serum,20210307,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1455,3,14,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2141,Serum,20210307,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1456,3,15,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2141,Serum,20210307,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1457,3,16,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2145,Serum,20210202,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1458,3,17,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2145,Serum,20210202,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1459,3,18,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2145,Serum,20210202,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1460,3,19,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2146,Serum,20210202,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1461,3,20,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2146,Serum,20210202,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1462,3,21,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2146,Serum,20210202,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1463,3,22,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2150,Serum,20210316,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1464,3,23,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2150,Serum,20210316,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1465,3,24,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2150,Serum,20210316,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1466,3,25,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2155,Serum,20210424,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1467,3,26,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2155,Serum,20210424,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1468,3,27,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2155,Serum,20210424,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1469,3,28,1,Thermo Fisher,OIM19121,1,20211231,TT3,MW,58,2160,Serum,20210521,0.753,0.655,0.557,0.95,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1470,3,29,1,Thermo Fisher,OIM19122,2,20211231,TT3,MW,58,2160,Serum,20210521,2,0.12,1.64,2.36,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
1471,3,30,1,Thermo Fisher,OIM19123,3,20211231,TT3,MW,58,2160,Serum,20210521,4.2,0.252,3.44,4.96,nmol/L,1,20201018 18:10:54,18-Oct-20,NRUSSELL,,,
