vendor,controllotnumber,assay,sublot,va_version,assaytype,bodyfluid,gen_expiry,qc_expiration,mean_conc,level,concconvunit,gen_intro,va_number,lower_limit,upper_limit,stdev_conc
"Thermo Fisher","CXL2021102","TSH","5850","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:20 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021102","TSH","5855","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:20 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021102","TSH","5860","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","2","mIU/L","11/17/2020 11:11:20 AM","0","1.69","3.09","0.23"
"Thermo Fisher","CXL2021103","TSH","5810","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5825","1","MW","S","10/15/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:22 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5840","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5845","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5850","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5855","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
"Thermo Fisher","CXL2021103","TSH","5860","1","MW","S","10/14/2019 12:00:00 AM","3/31/2021 12:00:00 AM","1","3","mIU/L","11/17/2020 11:11:20 AM","0","13.9","23.9","1.66"
